Date,Open,High,Low,Close,Volume
7-Oct-16,16.66,16.77,16.06,16.34,5574972
6-Oct-16,17.06,17.13,16.61,16.79,5927257
5-Oct-16,16.90,17.68,16.90,17.13,9229091
4-Oct-16,16.83,17.62,16.60,16.89,11129773
3-Oct-16,16.87,16.98,16.34,16.74,7279344
30-Sep-16,16.80,17.00,16.60,16.68,5501695
29-Sep-16,16.86,16.91,16.40,16.60,6570057
28-Sep-16,16.57,17.20,16.47,16.99,7946133
27-Sep-16,16.72,17.35,15.84,16.79,14304848
26-Sep-16,16.82,17.18,16.51,16.92,8883319
23-Sep-16,16.12,17.41,16.10,17.15,20180989
22-Sep-16,15.30,16.42,15.13,16.05,18576538
21-Sep-16,14.62,15.05,14.26,14.97,10497589
20-Sep-16,15.69,15.70,13.89,14.26,22467789
19-Sep-16,15.60,16.44,15.00,15.31,35136412
16-Sep-16,14.66,15.07,14.51,14.96,17463525
15-Sep-16,13.21,14.23,13.13,14.16,8134941
14-Sep-16,12.81,13.25,12.81,13.07,5120418
13-Sep-16,13.13,13.17,12.62,12.80,5320396
12-Sep-16,12.61,13.53,12.58,13.20,6565725
9-Sep-16,13.48,13.55,12.83,12.85,7071689
8-Sep-16,14.12,14.12,13.38,13.58,6152744
7-Sep-16,14.44,14.66,13.66,13.88,7384010
6-Sep-16,14.22,14.66,14.10,14.57,4836110
2-Sep-16,14.57,14.70,14.04,14.13,5775215
1-Sep-16,14.94,14.95,14.14,14.53,5564388
31-Aug-16,14.94,15.05,14.56,14.65,3844610
30-Aug-16,15.00,15.32,14.75,14.86,4731199
29-Aug-16,14.75,15.20,14.66,14.87,3643380
26-Aug-16,14.90,15.18,14.51,14.72,4452581
25-Aug-16,14.96,15.11,14.65,14.89,4047770
24-Aug-16,15.79,15.80,14.91,15.00,6494400
23-Aug-16,15.61,15.99,15.47,15.51,8029373
22-Aug-16,14.98,15.90,14.90,15.20,6708201
19-Aug-16,15.01,15.21,14.60,15.12,6261020
18-Aug-16,15.43,15.49,14.90,15.12,5692153
